Year,ID,Player,POS,HT,WT,High School,City,State,Rating,National_Rank,Position_Rank,State_Rank,Team
2021,46084215,Nnanna Njoku, C ,6-9,245,Sanford School,Hockessin,DE,0.9668,84,15,1,villanova
2021,46093889,Stevie Mitchell, PG ,6-2,175,Wilson,Reading,PA,0.9664,85,12,5,marquette
2021,46079929,K.J. Simpson, CG ,6-2,175,Chaminade,West Hills,CA,0.9662,86,6,6,NULL
2021,46059386,Ryan Nembhard, PG ,6-1,165,Montverde Academy,Montverde,FL,0.9656,87,13,14,creighton
2021,46100999,Miles Kelly, SG ,6-5,175,Hargrave Military Academy,HS) ,NULL,0.9637,88,20,3,georgia tech
2021,46085454,Jusaun Holt, SF ,6-6,200,St Francis Day School,Roswell,GA,0.9635,89,17,4,alabama
2021,46079587,Bobby Pettiford, PG ,6-1,175,South Granville Of Business And Global Commun,Durham,NC,0.9629,90,14,5,kansas
2021,46057671,Shane Dezonie, SG ,6-4,190,Brewster Academy,Wolfeboro,NH,0.9626,91,21,1,NULL
2021,46055362,Chance Moore, SG ,6-5,195,McEachern,Powder Springs,GA,0.9625,92,22,5,arkansas
2021,46086079,Tucker DeVries, SF ,6-6,190,Waukee Senior,Waukee,IA,0.9619,93,18,1,drake
2021,46057562,Bensley Joseph, PG ,6-1,165,Putnam Science Academy,Putnam,CT,0.9613,94,15,1,miami
2021,46041971,Johnathan Lawson, SF ,6-6,165,Wooddale,Memphis,TN,0.9612,95,19,3,memphis
2021,46100041,CJ Noland, SG ,6-3,215,Waxahachie,Waxahachie,TX,0.9605,96,23,6,oklahoma
2021,46059371,Luke Goode, SF ,6-7,200,Homestead,Fort Wayne,IN,0.9573,97,20,3,illinois
2021,46099866,Brandon Murray, SG ,6-5,200,IMG Academy,Bradenton,FL,0.9572,98,24,15,lsu
2021,46057858,Wilhelm Breidenbach, C ,6-9,200,Mater Dei,Santa Ana,CA,0.9568,99,16,7,nebraska
2021,46086336,Casey Simmons, SG ,6-5,170,Milton Academy,Milton,MA,0.9561,100,25,1,northwestern
2021,46093897,Ramses Melendez, SF ,6-7,190,Central Pointe Christian,Kissimmee,FL,0.9543,101,21,16,illinois
2021,46094089,Jeremy Sochan, PF ,6-8,215,Orange Academy,Germany,GERM,0.9540,102,19,1,baylor
2021,46049201,Zaon Collins, PG ,6-1,165,Bishop Gorman,Las Vegas,NV,0.9494,103,16,4,NULL
2021,46055568,Wesley Cardet, SF ,6-6,175,West Oaks Academy,Orlando,FL,0.9491,104,22,17,samford
2021,46086980,Kyle Cuffe Jr., SG ,6-2,180,Blair Academy,Blairstown,NJ,0.9480,105,26,2,kansas
2021,46097661,Ike Cornish, SF ,6-6,185,Legacy Charter,Baltimore,MD,0.9432,106,23,3,maryland
2021,46093892,Jaylen Blakes, PG ,6-2,195,Blair Academy,Blairstown,NJ,0.9421,107,17,3,duke
2021,46085899,Isaiah Barnes, SF ,6-6,180,Simeon,Chicago,IL,0.9390,108,24,4,michigan
