Year,Player,POS,Rating,Team_Old,Team_New,Conference_Old,Conference_New
2020,DeAntoni Gordon, PF ,0.8744,wichita state,null,American Athletic,NULL
2020,Andre Allen, PF ,0.8728,arizona state,southern,Pacific-12,SWAC
2020,Donnie Tillman, PF ,0.8726,unlv,new mexico state,Mountain West,WAC
2020,Mekhi Long, SF ,0.8723,rhode island,old dominion,Atlantic 10,Conference USA
2020,KeyShawn Feazell, PF ,0.8711,mississippi state,mcneese state,SEC,Southland
2020,Chris Doherty, SF ,0.8702,notre dame,northeastern,ACC,CAA
2020,B.J. Mack, PF ,0.8702,south florida,wofford,American Athletic,Southern
2020,Daron Henson, PF ,0.8678,washington state,seattle,Pacific-12,WAC
2020,Drew Peterson, SF ,0.8678,rice,usc,Conference USA,Pacific-12
2020,Oton Jankovic, PF ,0.8678,vanderbilt,tulane,SEC,American Athletic
2020,Michael Peake, PF ,0.8678,georgia,austin peay,SEC,Ohio Valley
2020,Cordell Pemsl, SF ,0.8649,iowa,virginia tech,Big Ten,ACC
2020,Melo Eggleston, SF ,0.8637,arkansas state,bryant,Sun Belt,Northeast
2020,Makhtar Gueye, SF ,0.8616,alabama birmingham,towson,Conference USA,CAA
2020,Tomas Murphy, PF ,0.8616,northeastern,vermont,CAA,America East
2020,Marcus Santos-Silva, PF ,0.8606,virginia commonwealth,texas tech,Atlantic 10,Big 12
2020,Gabe Osabuohien, SF ,0.8600,arkansas,null,SEC,NULL
2020,Tyron Brewer, SF ,0.8600,southeastern louisiana,etsu,Southland,Southern
2020,Isaiah Wilkins, SF ,0.8600,virginia tech,wake forest,ACC,ACC
2020,Zach Crisler, PF ,0.8600,rice,null,Conference USA,NULL
2020,Ricky Lindo, PF ,0.8578,maryland,george washington,Big Ten,Atlantic 10
2020,Kevin Cross, PF ,0.8556,nebraska,tulane,Big Ten,American Athletic
2020,Bakari Simmons, SF ,0.8556,texas am,null,SEC,NULL
2020,Carlos Curry, PF ,0.8556,ole miss,null,SEC,NULL
2020,Nigel Shadd, SF ,0.8530,kansas state,pacific,Big 12,West Coast
2020,Jaylen Sebree, SF ,0.8530,florida atlantic,null,Conference USA,NULL
2020,Michael Wynn, SF ,0.8528,wake forest,akron,ACC,Mid-American
2020,Harrison Henderson, SF ,0.8527,wisconsin milwaukee,southern,Horizon,SWAC
2020,James Jean-Marie, SF ,0.8517,san diego,hawaii,West Coast,Big West
2020,Justyn Mutts, SF ,0.8517,delaware,virginia tech,CAA,ACC
2020,Jakub Dombek, PF ,0.8500,colorado,hartford,Pacific-12,America East
2020,Josh Linder, PF ,0.8500,georgia state,tennessee state,Sun Belt,Ohio Valley
2020,Levi Stockard, SF ,0.8496,kansas state,virginia commonwealth,Big 12,Atlantic 10
2020,Dontay Bassett, SF ,0.8441,florida,weber state,SEC,Big Sky
2020,E.J. Datcher, PF ,0.8426,mississippi state,null,SEC,NULL
2020,Kavonte Ivery, SF ,0.8400,georgia state,null,Sun Belt,NULL
2020,Samson George, PF ,0.8338,pittsburgh,central arkansas,ACC,Southland
2020,Lemmie Howard, SF ,0.8333,jackson state,null,SWAC,NULL
2020,Jalen Johnson, SF ,0.8333,louisiana,mississippi state,Sun Belt,SEC
2020,Bobby Planutis, SF ,0.8333,saint bonaventure,null,Atlantic 10,NULL
2020,Omar Habwe, SF ,0.8333,mount st marys,stony brook,Northeast,America East
