Year,Player,POS,Rating,Team_Old,Team_New,Conference_Old,Conference_New
2020,Jaden Knowles, RB ,NULL,oklahoma,null,Big 12,NULL
2020,Blessing Leiato, RB ,NULL,washington state,null,Pacific-12,NULL
2020,Anthony McAfee II, RB ,NULL,coastal carolina,null,Sun Belt,NULL
2020,Aslan Pugh, RB ,NULL,rutgers,rutgers,Big Ten,Big Ten
2020,Quin Stott, RB ,NULL,boston college,null,ACC,NULL
2020,JJ Wang Zitzner, APB ,NULL,furman,null,Southern,NULL
2020,Tay Williams, RB ,NULL,east carolina,mvsu,American Athletic,SWAC
2020,Theo Howard, WR ,0.9533,ucla,oklahoma,Pacific-12,Big 12
2020,Tre' McKitty, TE ,0.8816,florida state,georgia,ACC,SEC
2020,Damon Hazelton, WR ,0.7917,virginia tech,missouri,ACC,SEC
2020,Justin Shorter, WR ,0.9962,penn state,florida,Big Ten,SEC
2020,Devon Williams, WR ,0.9791,usc,oregon,Pacific-12,Pacific-12
2020,Tarik Black, WR ,0.9454,michigan,texas,Big Ten,Big 12
2020,Tre'Shaun Harrison, WR ,0.9336,florida state,oregon state,ACC,Pacific-12
2020,Dee Anderson, WR ,0.9242,lsu,oklahoma state,SEC,Big 12
2020,Darien Chase, WR ,0.8889,nebraska,portland state,Big Ten,Big Sky
2020,Kenny Yeboah, TE ,0.7949,temple,ole miss,American Athletic,SEC
2020,Mykel Jones, WR ,0.9131,oklahoma,tulane,Big 12,American Athletic
2020,Ben Skowronek, WR ,0.8528,northwestern,notre dame,Big Ten,FBS Independents
2020,Rico Bussey, WR ,0.7944,north texas,hawaii,Conference USA,Mountain West
2020,Brian Hightower, WR ,0.9366,miami,illinois,ACC,Big Ten
2020,Grayson Boomer, TE ,0.9169,oklahoma state,tulsa,Big 12,American Athletic
2020,C.J. Bolar, WR ,0.8680,vanderbilt,alcorn state,SEC,SWAC
2020,Carl Tucker, TE ,0.8643,north carolina,alabama,ACC,SEC
2020,Briley Moore, TE ,NULL,northern iowa,kansas state,Missouri Valley,Big 12
2020,Aron Cruickshank, WR ,0.8784,wisconsin,rutgers,Big Ten,Big Ten
2020,Evidence Njoku, WR ,0.8675,miami,ucla,ACC,Pacific-12
2020,Jordan Jones, WR ,0.8666,arkansas,cincinnati,SEC,American Athletic
2020,Chase Rogers, TE ,0.8570,louisiana,ole miss,Sun Belt,SEC
2020,Keion Wakefield, WR ,0.8563,louisville,west virginia,ACC,Big 12
2020,Brenden Schooler, WR ,0.8111,oregon,arizona,Pacific-12,Pacific-12
2020,Lucas Krull, TE ,0.9200,florida,pittsburgh,SEC,ACC
2020,Trey Lowe, WR ,0.9094,washington,oregon state,Pacific-12,Pacific-12
2020,Velus Jones Jr., WR ,0.8727,usc,tennessee,Pacific-12,SEC
2020,Mac Hippenhammer, WR ,0.8624,penn state,miami ohio,Big Ten,Mid-American
2020,DeJuan Ellis, WR ,0.8736,virginia tech,maryland,ACC,Big Ten
