Year,ID,Player,POS,Rating,Team_Old,Team_New,Conference_Old,Conference_New
2019,46083380,Thomas Bruce, PF ,NULL,binghamton,NULL,America East,NULL
2019,46082932,Jason Carter, PF ,NULL,ohio,xavier,Mid-American,Big East
2019,46046797,Cameron Christon, SF ,NULL,boise state,grambling state,Mountain West,SWAC
2019,22626,Jerekius Davis, PF ,NULL,louisiana,NULL,Sun Belt,NULL
2019,46083327,Alihan Demir, PF ,NULL,drexel,minnesota,CAA,Big Ten
2019,87421,Aleksandar Dozic, SF ,NULL,marist,wright state,MAAC,Horizon
2019,85150,Lorenzo Edwards, PF ,NULL,saint josephs,NULL,Atlantic 10,NULL
2019,72175,Matt Elmore, SF ,NULL,uncw,NULL,CAA,NULL
2019,61760,Shaquillo Fritz, SF ,NULL,arkansas state,NULL,Sun Belt,NULL
2019,88575,Najee Garvin, PF ,NULL,charlotte,NULL,Conference USA,NULL
2019,46083113,Deng Geu, PF ,NULL,north dakota state,north texas,Summit,Conference USA
2019,46041342,Christian Guess, SF ,NULL,missouri,NULL,SEC,NULL
2019,46083548,Micaiah Henry, PF ,NULL,tennessee tech,south carolina,Ohio Valley,SEC
2019,46083456,TJ Holyfield, PF ,NULL,sfasu,texas tech,Southland,Big 12
2019,46043397,Deion James, PF ,NULL,colorado state,washington state,Mountain West,Pacific-12
2019,46036679,Berrick JeanLouis, SF ,NULL,new mexico state,NULL,WAC,NULL
