Year,ID,Player,POS,Rating,Team_Old,Team_New,Conference_Old,Conference_New
2020,46035553,DeAndre Thomas, PG ,NULL,samford,mount st marys,Southern,Northeast
2020,46100432,Justin Turner, SG ,NULL,bowling green,NULL,Mid-American,NULL
2020,46100356,A.J. Walker, SG ,NULL,air force,NULL,Mountain West,NULL
2020,46101084,Gabe Watson, CG ,NULL,southern mississippi,tulane,Conference USA,American Athletic
2020,30234,Grant Weatherford, SG ,NULL,iupui,georgia southern,Summit,Sun Belt
2020,46055874,Curtis White, SG ,NULL,smu,arkansas little rock,American Athletic,Sun Belt
2020,46100428,Isaiah White, SG ,NULL,utah valley,usc,WAC,Pacific-12
2020,46048877,Ibn Williams, PG ,NULL,coppin state,NULL,MEAC,NULL
2020,46101845,Daivien Williamson, PG ,NULL,etsu,wake forest,Southern,ACC
2020,46047622,Calvin Wishart, PG ,NULL,georgia southern,uc santa barbara,Sun Belt,Big West
2020,93839,Holland Woods, PG ,NULL,portland state,arizona state,Big Sky,Pacific-12
2020,45572914,Kahlil Whitney, SF ,0.9957,kentucky,NULL,SEC,NULL
2020,46035576,CJ Walker, PF ,0.9903,oregon,central florida,Pacific-12,American Athletic
2020,93002,Johnny Juzang, SF ,0.9885,kentucky,ucla,SEC,Pacific-12
2020,82839,Shareef O'Neal, PF ,0.9850,ucla,lsu,Pacific-12,SEC
2020,84993,Khavon Moore, SF ,0.9811,clemson,NULL,ACC,NULL
2020,90376,Alonzo Gaffney, SF ,0.9805,ohio state,NULL,Big Ten,NULL
2020,31241,Matthew Moyer, PF ,0.9750,vanderbilt,george washington,SEC,Atlantic 10
2020,86005,Carte'Are Gordon, PF ,0.9731,depaul,NULL,Big East,NULL
2020,86949,Jairus Hamilton, SF ,0.9728,boston college,maryland,ACC,Big Ten
2020,82675,Taurean Thompson, SF ,0.9711,seton hall,detroit,Big East,Horizon
2020,31412,Vance Jackson, SF ,0.9699,new mexico,arkansas,Mountain West,SEC
2020,23595,D.J. Williams, SF ,0.9691,george washington,depaul,Atlantic 10,Big East
2020,46055071,Tray Jackson, PF ,0.9673,missouri,seton hall,SEC,Big East
2020,45572921,Marcus Watson, SF ,0.9658,oklahoma state,new mexico,Big 12,Mountain West
2020,46035660,Kaden Archie, SF ,0.9645,utep,georgia southern,Conference USA,Sun Belt
2020,81339,Justin Smith, PF ,0.9636,indiana,arkansas,Big Ten,SEC
2020,76737,Sidney Wilson, SF ,0.9524,uconn,siue,Big East,Ohio Valley
2020,94646,Amanze Ngumezi, PF ,0.9518,georgia,jacksonville state,SEC,Ohio Valley
2020,35896,Kodye Pugh, SF ,0.9483,stanford,NULL,Pacific-12,NULL
2020,46057725,Cole Bajema, SF ,0.9443,michigan,washington,Big Ten,Pacific-12
2020,86245,Josh LeBlanc, SF ,0.9398,georgetown,lsu,Big East,SEC
2020,88729,Damezi Anderson, SF ,0.9383,indiana,loyola,Big Ten,Missouri Valley
2020,46047721,Zion Griffin, SF ,0.9382,iowa state,uic,Big 12,Horizon
2020,45572912,Elias King, SF ,0.9357,mississippi state,middle tennessee state,SEC,Conference USA
2020,46035783,Ian Steere, PF ,0.9339,saint johns,uncw,Big East,CAA
2020,78308,Blake Hinson, SF ,0.9299,ole miss,iowa state,SEC,Big 12
2020,86016,Jacobi Gordon, SF ,0.9290,california,louisiana,Pacific-12,Sun Belt
2020,75455,Terrence Lewis, SF ,0.9287,iowa state,south alabama,Big 12,Sun Belt
2020,21772,Payton Dastrup, SF ,0.9260,oregon state,NULL,Pacific-12,NULL
2020,86000,Reggie Chaney, PF ,0.9240,arkansas,houston,SEC,American Athletic
2020,31006,Seth Towns, SF ,0.9183,harvard,ohio state,Ivy,Big Ten
2020,45572933,Makhel Mitchell, PF ,0.9153,maryland,rhode island,Big Ten,Atlantic 10
